#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
21.72,14,0.887714
16.97,11,0.891713
23.0,15,0.899009
46.14,28,0.909033
6.13,5,0.911009
5.57,4,0.913009
38.71,24,0.922009
0.95,1,0.922009
0.95,1,0.922009
13.51,9,0.92601
15.93,11,0.930025
18.16,11,0.934009
4.61,3,0.935009
17.88,13,0.94001
17.3,12,0.94501
24.71,17,0.950936
7.7,6,0.953056
38.23,22,0.963062
4.51,4,0.965063
56.2,34,0.977278
62.1,38,0.992578
24.85,17,0.999578
49.96,30,1.012841
20.33,14,1.017817
8.6,5,1.019817
5.49,4,1.021817
6.2,5,1.023818
24.57,17,1.02982
11.17,8,1.033817
17.25,12,1.037818
0.95,1,1.038817
20.24,14,1.043818
19.47,13,1.048818
2.62,3,1.049818
1.16,1,1.050818
1.16,1,1.050818
59.96,39,1.066818
79.11,49,1.088197
0.95,1,1.089684
89.0,50,1.109735
25.59,17,1.116723
7.26,5,1.118721
6.97,5,1.120722
16.98,10,1.124745
17.77,12,1.129724
0.74,1,1.129724
49.55,30,1.141723
38.95,22,1.150721
8.96,6,1.153723
25.74,17,1.159722
16.33,10,1.163722
5.64,4,1.165745
82.56,50,1.185723
6.74,4,1.187723
9.46,7,1.189746
15.28,11,1.194722
26.52,16,1.200722
20.45,13,1.205723
38.0,23,1.214835
38.31,24,1.224065
3.11,2,1.225065
10.99,7,1.228065
7.9,5,1.230065
4.61,3,1.231064
0.95,1,1.232064
4.05,3,1.233065
1.16,1,1.233065
17.45,12,1.238064
84.84,50,1.258065
14.38,9,1.261064
82.28,50,1.281065
26.29,16,1.286366
46.17,30,1.29838
83.91,50,1.317367
12.75,8,1.320369
19.26,10,1.324367
2.89,2,1.325367
18.65,13,1.329367
4.76,3,1.331367
13.6,9,1.335368
5.61,4,1.336366
18.71,13,1.341368
15.06,11,1.345371
50.8,29,1.356567
81.41,50,1.37631
22.51,13,1.381293
17.47,11,1.385293
27.21,17,1.392293
15.89,9,1.395292
66.71,42,1.412138
26.23,17,1.420281
41.14,27,1.431236
1.16,1,1.431798
13.3,9,1.435799
5.77,4,1.437798
